observation_date,CPALTT01USQ657N
4/1/1955,0
7/1/1955,0.49937578
10/1/1955,0.124223602
1/1/1956,-0.248138958
4/1/1956,0.870646766
7/1/1956,1.233045623
10/1/1956,0.609013398
1/1/1957,0.605326877
4/1/1957,1.083032491
7/1/1957,1.071428571
10/1/1957,0.23557126
1/1/1958,1.057579318
4/1/1958,0.813953488
7/1/1958,0.115340254
10/1/1958,0
1/1/1959,0
4/1/1959,0.34562212
7/1/1959,0.688863375
10/1/1959,0.570125428
1/1/1960,-0.113378685
4/1/1960,0.56753689
7/1/1960,0.225733634
10/1/1960,0.675675676
1/1/1961,0
4/1/1961,0
7/1/1961,0.559284116
10/1/1961,0.111234705
1/1/1962,0.222222222
4/1/1962,0.44345898
7/1/1962,0.441501104
10/1/1962,0.21978022
1/1/1963,0.109649123
4/1/1963,0.328587076
7/1/1963,0.545851528
10/1/1963,0.434310532
1/1/1964,0.216216216
4/1/1964,0.107874865
7/1/1964,0.431034483
10/1/1964,0.321888412
1/1/1965,0.213903743
4/1/1965,0.747065101
7/1/1965,0.423728814
10/1/1965,0.421940928
1/1/1966,0.735294118
4/1/1966,1.147028154
7/1/1966,0.927835052
10/1/1966,0.817160368
1/1/1967,0.101317123
4/1/1967,0.809716599
7/1/1967,0.903614458
10/1/1967,0.895522388
1/1/1968,1.183431953
4/1/1968,0.974658869
7/1/1968,1.351351351
10/1/1968,1.142857143
1/1/1969,1.224105461
4/1/1969,1.674418605
7/1/1969,1.463860933
10/1/1969,1.442741208
1/1/1970,1.333333333
4/1/1970,1.666666667
7/1/1970,1.121656601
10/1/1970,1.365187713
1/1/1971,0.757575758
4/1/1971,1.086048454
7/1/1971,1.074380165
10/1/1971,0.490596893
1/1/1972,0.732302685
4/1/1972,0.807754443
7/1/1972,0.961538462
10/1/1972,0.952380952
1/1/1973,1.257861635
4/1/1973,2.251552795
7/1/1973,2.201974184
10/1/1973,2.303120357
1/1/1974,2.832244009
4/1/1974,2.824858757
7/1/1974,3.021978022
10/1/1974,3
1/1/1975,1.812297735
4/1/1975,1.52574698
7/1/1975,2.12899186
10/1/1975,1.59411404
1/1/1976,0.965600483
4/1/1976,1.255230126
7/1/1976,1.593860685
10/1/1976,1.162115049
1/1/1977,1.723147616
4/1/1977,2.20214568
7/1/1977,1.436464088
10/1/1977,1.089324619
1/1/1978,1.724137931
4/1/1978,2.542372881
7/1/1978,2.376033058
10/1/1978,2.018163471
1/1/1979,2.472799209
4/1/1979,3.474903475
7/1/1979,3.311567164
10/1/1979,2.844243792
1/1/1980,3.950834065
4/1/1980,3.673986486
7/1/1980,1.83299389
10/1/1980,2.64
1/1/1981,2.650038971
4/1/1981,2.3158694
7/1/1981,2.820037106
10/1/1981,1.443522194
1/1/1982,0.818214159
4/1/1982,1.517290049
7/1/1982,1.876955162
10/1/1982,0.238826339
1/1/1983,-0.068073519
4/1/1983,1.260217984
7/1/1983,1.177262025
10/1/1983,0.897606383
1/1/1984,1.120263591
4/1/1984,1.075268817
7/1/1984,1.096067054
10/1/1984,0.733418367
1/1/1985,0.633111744
4/1/1985,1.226800881
7/1/1985,0.714729646
10/1/1985,0.89478556
1/1/1986,0.214067278
4/1/1986,-0.213610009
7/1/1986,0.733944954
10/1/1986,0.546448087
1/1/1987,1.117149758
4/1/1987,1.313825022
7/1/1987,1.149425287
10/1/1987,0.844988345
1/1/1988,0.606761052
4/1/1988,1.263641585
7/1/1988,1.33295519
10/1/1988,1.03554436
1/1/1989,1.108033241
4/1/1989,1.643835616
7/1/1989,0.808625337
10/1/1989,0.962566845
1/1/1990,1.721398305
4/1/1990,1.015360583
7/1/1990,1.726804124
10/1/1990,1.621484672
1/1/1991,0.822737472
4/1/1991,0.59347181
7/1/1991,0.786627335
10/1/1991,0.756097561
1/1/1992,0.702009199
4/1/1992,0.817307692
7/1/1992,0.78683834
10/1/1992,0.709723208
1/1/1993,0.845665962
4/1/1993,0.768693222
7/1/1993,0.392972723
10/1/1993,0.690766751
1/1/1994,0.640292705
4/1/1994,0.636219041
7/1/1994,0.880559946
10/1/1994,0.470008953
1/1/1995,0.824237024
4/1/1995,0.883782589
7/1/1995,0.438020149
10/1/1995,0.47972089
1/1/1996,0.911458333
4/1/1996,0.989247312
7/1/1996,0.532367973
10/1/1996,0.720186401
1/1/1997,0.672975815
4/1/1997,0.396908293
7/1/1997,0.395339159
10/1/1997,0.393782383
1/1/1998,0.268373245
4/1/1998,0.535309862
7/1/1998,0.389105058
10/1/1998,0.346797226
1/1/1999,0.386257369
4/1/1999,0.972053463
7/1/1999,0.621740874
10/1/1999,0.617899143
1/1/2000,0.990491284
4/1/2000,1.059238917
7/1/2000,0.795807453
10/1/2000,0.539187368
1/1/2001,0.957670944
4/1/2001,1.043445267
7/1/2001,0.131430717
10/1/2001,-0.281267579
1/1/2002,0.357277172
4/1/2002,1.086752857
7/1/2002,0.426320667
10/1/2002,0.313768918
1/1/2003,1.011959522
4/1/2003,0.364298725
7/1/2003,0.490018149
10/1/2003,0.018060321
1/1/2004,0.902853016
4/1/2004,1.431639227
7/1/2004,0.352858151
10/1/2004,0.597749648
1/1/2005,0.629150647
4/1/2005,1.337269885
7/1/2005,1.216795201
10/1/2005,0.507958009
1/1/2006,0.539083558
4/1/2006,1.692359249
7/1/2006,0.56022409
10/1/2006,-0.85203998
1/1/2007,1.019170385
4/1/2007,1.917329089
7/1/2007,0.275928711
10/1/2007,0.711214555
1/1/2008,1.136773642
4/1/2008,2.195344656
7/1/2008,1.163055346
10/1/2008,-2.828529429
1/1/2009,-0.497633075
4/1/2009,1.060302337
7/1/2009,0.679071982
10/1/2009,0.201188589
1/1/2010,0.401415054
4/1/2010,0.475072152
7/1/2010,0.093250498
10/1/2010,0.294916321
1/1/2011,1.264822375
4/1/2011,1.743310892
7/1/2011,0.408517984
10/1/2011,-0.15205577
1/1/2012,0.795638656
4/1/2012,0.827531738
7/1/2012,0.219328148
10/1/2012,0.03604047
1/1/2013,0.590329876
4/1/2013,0.540980612
7/1/2013,0.377979341
10/1/2013,-0.279067646
1/1/2014,0.76122253
4/1/2014,1.180867814
7/1/2014,0.114675844
10/1/2014,-0.803351757
1/1/2015,-0.543199002
4/1/2015,1.205595644
7/1/2015,0.262677374
10/1/2015,-0.449843688
1/1/2016,0.064634066
4/1/2016,1.172350557
7/1/2016,0.332681941
10/1/2016,0.222574197
1/1/2017,0.790736963
4/1/2017,0.543517706
7/1/2017,0.396615691
10/1/2017,0.370629636
1/1/2018,0.88611838
4/1/2018,1.033075567
7/1/2018,0.327267568
10/1/2018,-0.057494736
1/1/2019,0.335116034
4/1/2019,1.198513227
7/1/2019,0.274166008
10/1/2019,0.213017997
1/1/2020,0.419427422
4/1/2020,-0.540035417
7/1/2020,1.131485375
10/1/2020,0.22995025
1/1/2021,1.0731144
4/1/2021,2.339788694
7/1/2021,1.600975314
10/1/2021,1.517761427
1/1/2022,2.283464472
4/1/2022,2.973832898
7/1/2022,1.314662146
10/1/2022,0.367161275
1/1/2023,1.044906557
4/1/2023,1.192332172
7/1/2023,0.866426547
10/1/2023,0.104507738
1/1/2024,1.042575543
